City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,33.04,78,74,4.97,broken clouds
1,Vaini,TO,-21.2,-175.2,77.16,69,20,11.5,few clouds
2,Dikson,RU,73.5069,80.5464,15.12,77,7,20.0,clear sky
3,Mount Darwin,ZW,-16.7725,31.5838,69.46,58,99,4.32,overcast clouds
4,Kodiak,US,57.79,-152.4072,36.91,93,100,4.61,overcast clouds
5,Baruun-Urt,MN,46.6806,113.2792,40.91,55,95,21.14,overcast clouds
6,Dolores,AR,-36.3132,-57.6792,53.1,48,0,11.86,clear sky
7,Albany,US,42.6001,-73.9662,39.58,49,42,5.01,scattered clouds
8,Chuy,UY,-33.6971,-53.4616,60.17,86,100,6.91,overcast clouds
9,Irece,BR,-11.3042,-41.8558,79.14,47,100,16.22,overcast clouds
10,Atuona,PF,-9.8,-139.0333,78.13,78,75,21.16,light rain
11,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,65,0,14.97,clear sky
12,Beisfjord,NO,68.3751,17.5988,32.05,84,100,8.97,snow
13,Rikitea,PF,-23.1203,-134.9692,77.31,67,16,21.0,few clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,72.25,85,8,6.46,clear sky
15,Marystown,CA,47.1666,-55.1483,46.85,100,100,8.01,overcast clouds
16,Castro,BR,-24.7911,-50.0119,74.59,63,52,10.49,broken clouds
17,Narsaq,GL,60.9167,-46.05,50.22,81,100,5.23,overcast clouds
18,New Norfolk,AU,-42.7826,147.0587,60.91,84,100,3.11,moderate rain
19,Taree,AU,-31.9,152.4667,67.1,91,100,5.61,overcast clouds
20,Smithers,CA,54.7804,-127.1743,31.8,92,86,2.53,overcast clouds
21,Georgetown,MY,5.4112,100.3354,85.95,79,20,3.44,thunderstorm
22,Sistranda,NO,63.7256,8.834,42.76,58,100,13.18,overcast clouds
23,Dunedin,NZ,-45.8742,170.5036,52.81,82,50,1.01,scattered clouds
24,Punta Arenas,CL,-53.15,-70.9167,39.31,67,0,21.85,clear sky
25,Okha,RU,53.5739,142.9478,27.63,80,100,16.91,overcast clouds
26,Sao Filipe,CV,14.8961,-24.4956,72.5,70,0,13.11,clear sky
27,Biak,ID,-0.9131,122.8766,77.25,83,100,0.74,overcast clouds
28,Fallon,US,39.4735,-118.7774,48.45,27,0,5.75,clear sky
29,Mataura,NZ,-46.1927,168.8643,41.97,99,8,1.77,clear sky
30,Manicore,BR,-5.8092,-61.3003,83.12,68,47,3.38,scattered clouds
31,Dingle,PH,10.9995,122.6711,78.06,88,100,4.16,overcast clouds
32,Busselton,AU,-33.65,115.3333,57.07,75,74,6.58,broken clouds
33,Oriximina,BR,-1.7656,-55.8661,76.78,90,100,4.14,overcast clouds
34,Kapaa,US,22.0752,-159.319,73.38,90,75,10.36,broken clouds
35,Namatanai,PG,-3.6667,152.4333,80.47,78,76,6.44,broken clouds
36,Port Alfred,ZA,-33.5906,26.891,75.18,58,0,1.99,clear sky
37,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,88,99,24.81,overcast clouds
38,Bluff,NZ,-46.6,168.3333,49.42,81,41,1.86,scattered clouds
39,Bubaque,GW,11.2833,-15.8333,78.94,59,21,4.61,few clouds
40,Laguna,US,38.421,-121.4238,48.76,77,0,6.91,clear sky
41,Edd,ER,13.9297,41.6925,96.46,44,2,26.69,clear sky
42,Capreol,CA,46.706,-80.9225,32.92,46,0,3.0,clear sky
43,Fortuna,US,40.5982,-124.1573,43.66,93,20,0.0,few clouds
44,Andenes,NO,69.3143,16.1194,30.18,69,40,24.16,scattered clouds
45,Bredasdorp,ZA,-34.5322,20.0403,69.39,53,95,11.52,overcast clouds
46,Kununurra,AU,-15.7667,128.7333,78.78,78,56,6.91,broken clouds
47,Sajalices,PA,8.6834,-79.8707,80.42,85,100,6.53,overcast clouds
48,San Ignacio,BZ,17.1561,-89.0714,72.82,97,77,0.11,broken clouds
49,Saint Anthony,US,45.0205,-93.218,39.65,54,0,16.11,clear sky
50,Cape Town,ZA,-33.9258,18.4232,80.11,64,0,11.01,clear sky
51,San Rafael,AR,-34.6177,-68.3301,45.23,50,47,2.91,scattered clouds
52,Isangel,VU,-19.55,169.2667,78.03,75,100,22.84,overcast clouds
53,Tasiilaq,GL,65.6145,-37.6368,37.56,80,100,6.93,overcast clouds
54,Hilo,US,19.7297,-155.09,72.28,87,100,1.99,overcast clouds
55,Lebu,CL,-37.6167,-73.65,48.34,68,95,4.7,overcast clouds
